TEAM_ID,PLAYER_NAME,PLAYER_ID,TEAM_NBACOM,POS,ROLE,GP,MIN,POSS,PTS,REB,AST,STL,BLK,TOV,FG2_PCT,FG3_PCT,OREB,DREB,FG3A,AT_RIM_FGA,AT_RIM_FREQUENCY,AT_RIM_ACCURACY,MID_FGA,MID_FREQUENCY,MID_ACCURACY,THREE_FREQUENCY,THREE_ACCURACY,rTS,USG_PCT,BOX_CREATION,OFF_LOAD,FTA_RATE,OREB_PCT,DREB_PCT,AST_PCT,STL_PCT,BLK_PCT,TOV_PCT
1610612751,Drake Powell,1642962,BKN,SG,Combo,55,1097,2241,335,93,80,27,10,53,0.551,0.284,19,74,148,63,0.22,0.683,75,0.262,0.44,0.517,0.284,-2.6,14.6,1.5,20.1,0.22,1.9,8.3,10.9,1.2,0.8,14.5
1610612744,Draymond Green,203110,GSW,PF,Big,60,1644,3513,512,335,317,53,35,163,0.562,0.328,49,286,279,104,0.239,0.683,58,0.133,0.345,0.628,0.328,-2.6,16.5,4.9,28.5,0.163,3.2,19.6,26.1,1.6,1.9,25.4
1610612758,Drew Eubanks,1629234,SAC,C,Big,42,552,1165,219,127,19,15,26,30,0.617,0.143,39,88,7,62,0.397,0.79,87,0.558,0.494,0.045,0.143,4.5,16.3,1.2,20.2,0.365,7.6,18.3,5,1.3,4.3,14.2
1610612766,Drew Peterson,1641809,CHA,PF,Forward,6,64,131,5,9,2,3,1,0,NA,NA,3,6,12,NA,NA,NA,NA,NA,NA,NA,NA,-41.2,11.1,NA,NA,0.125,5.4,10.3,3.8,2.3,1.4,0
1610612747,Drew Timme,1631166,LAL,PF,Big,21,179,377,72,27,16,5,0,7,0.688,0.421,9,18,19,16,0.314,0.688,16,0.314,0.688,0.373,0.421,10.6,14.9,2.8,21.4,0.137,6.1,11.5,12.6,1.4,0,11.5
1610612748,Dru Smith,1630696,MIA,SG,Combo,67,1122,2505,388,172,178,98,21,55,0.492,0.302,61,111,126,93,0.292,0.591,100,0.313,0.4,0.395,0.302,-2.6,15.2,3.3,24.4,0.317,5.6,10.2,20.2,4,1.7,13.1
1610612765,Duncan Robinson,1629130,DET,SF,Wing,70,1936,4098,836,190,144,40,22,48,0.585,0.403,28,162,494,61,0.096,0.738,81,0.127,0.469,0.777,0.403,5.6,15.5,2.4,22.1,0.151,1.6,9.2,9.9,1,1.1,6.6
1610612757,Duop Reath,1641871,POR,C,Big,32,258,560,94,38,10,5,8,7,0.526,0.418,10,28,55,14,0.189,0.643,5,0.068,0.2,0.743,0.418,5.3,13.1,0.7,16.8,0.081,4.1,11.9,5.4,0.9,2.8,8.4
1610612742,Dwight Powell,203939,DAL,C,Big,54,730,1586,175,200,49,26,18,31,0.675,0.333,76,124,3,71,0.855,0.676,9,0.108,0.667,0.036,0.333,14.4,8.9,0.6,12.6,1.133,11.3,17.8,8.5,1.7,2.1,20
1610612758,Dylan Cardwell,1642928,SAC,C,Big,36,738,1530,187,276,48,24,49,30,0.583,0,118,158,1,74,0.529,0.757,65,0.464,0.385,0.007,0,2,11,0.8,15.4,0.343,17.3,24.6,8.7,1.6,6.1,15.7
